Year,Type of Dwelling,Region and County,County,Average Floor Area per Unit,Planning Permissions Granted,Total Floor Area for which Permission Granted,Units for which Permission Granted
2001,Private flats/apartments,Wexford,Wexford,83,49,29,351
2001,Private flats/apartments,Wicklow,Wicklow,93,31,18,193
2002,Houses,Carlow,Carlow,139,245,87,627
2002,Houses,Cavan,Cavan,152,617,270,1775
2002,Houses,Clare,Clare,164,637,213,1301
2002,Houses,Cork,Cork,143,1993,873,6108
2002,Houses,Donegal,Donegal,168,1748,494,2935
2002,Houses,Dublin,Dublin,113,803,798,7055
2002,Houses,Galway,Galway,169,1622,423,2499
2002,Houses,Kerry,Kerry,154,1177,308,2006
2002,Houses,Kildare,Kildare,152,527,229,1508
2002,Houses,Kilkenny,Kilkenny,135,431,173,1278
2002,Houses,Laois,Laois,145,321,222,1535
2002,Houses,Leitrim,Leitrim,146,249,89,609
2002,Houses,Limerick,Limerick,144,766,305,2115
2002,Houses,Longford,Longford,154,239,90,583
2002,Houses,Louth,Louth,155,422,160,1035
2002,Houses,Mayo,Mayo,164,1090,324,1981
2002,Houses,Meath,Meath,135,516,359,2664
2002,Houses,Monaghan,Monaghan,146,430,149,1019
2002,Houses,Offaly,Offaly,135,488,236,1748
2002,Houses,Roscommon,Roscommon,162,600,158,974
2002,Houses,Sligo,Sligo,148,354,138,930
2002,Houses,Waterford,Waterford,156,476,137,876
2002,Houses,Westmeath,Westmeath,147,363,169,1152
2002,Houses,Wexford,Wexford,159,866,213,1343
2002,Houses,Wicklow,Wicklow,117,314,299,2553
2002,Multi development houses,Carlow,Carlow,104,21,42,403
2002,Multi development houses,Cavan,Cavan,131,109,166,1267
2002,Multi development houses,Clare,Clare,130,50,93,714
2002,Multi development houses,Cork,Cork,122,170,522,4285
2002,Multi development houses,Donegal,Donegal,139,175,189,1362
2002,Multi development houses,Dublin,Dublin,109,146,695,6398
2002,Multi development houses,Galway,Galway,125,56,117,933
2002,Multi development houses,Kerry,Kerry,121,74,109,903
2002,Multi development houses,Kildare,Kildare,123,49,127,1030
2002,Multi development houses,Kilkenny,Kilkenny,109,27,95,874
2002,Multi development houses,Laois,Laois,131,28,163,1242
2002,Multi development houses,Leitrim,Leitrim,123,23,47,383
2002,Multi development houses,Limerick,Limerick,119,58,168,1407
2002,Multi development houses,Longford,Longford,133,24,49,368
2002,Multi development houses,Louth,Louth,115,28,74,641
2002,Multi development houses,Mayo,Mayo,139,102,138,993
2002,Multi development houses,Meath,Meath,122,48,267,2196
2002,Multi development houses,Monaghan,Monaghan,105,31,65,620
2002,Multi development houses,Offaly,Offaly,117,34,151,1294
2002,Multi development houses,Roscommon,Roscommon,132,58,57,432
2002,Multi development houses,Sligo,Sligo,128,47,80,623
2002,Multi development houses,Waterford,Waterford,119,29,51,429
2002,Multi development houses,Westmeath,Westmeath,129,32,106,821
2002,Multi development houses,Wexford,Wexford,120,63,65,540
2002,Multi development houses,Wicklow,Wicklow,109,46,250,2285
2002,One off houses,Carlow,Carlow,201,224,45,224
2002,One off houses,Cavan,Cavan,205,508,104,508
2002,One off houses,Clare,Clare,204,587,120,587
2002,One off houses,Cork,Cork,193,1823,351,1823
2002,One off houses,Donegal,Donegal,194,1573,305,1573
2002,One off houses,Dublin,Dublin,155,657,102,657
2002,One off houses,Galway,Galway,195,1566,306,1566
2002,One off houses,Kerry,Kerry,180,1103,199,1103
2002,One off houses,Kildare,Kildare,213,478,102,478
2002,One off houses,Kilkenny,Kilkenny,196,404,79,404
2002,One off houses,Laois,Laois,198,293,58,293
2002,One off houses,Leitrim,Leitrim,190,226,43,226
2002,One off houses,Limerick,Limerick,194,708,137,708
2002,One off houses,Longford,Longford,195,215,42,215
2002,One off houses,Louth,Louth,218,394,86,394
2002,One off houses,Mayo,Mayo,188,988,186,988
2002,One off houses,Meath,Meath,197,468,92,468
2002,One off houses,Monaghan,Monaghan,213,399,85,399
2002,One off houses,Offaly,Offaly,187,454,85,454
2002,One off houses,Roscommon,Roscommon,186,542,101,542
2002,One off houses,Sligo,Sligo,189,307,58,307
2002,One off houses,Waterford,Waterford,192,447,86,447
2002,One off houses,Westmeath,Westmeath,190,331,63,331
2002,One off houses,Wexford,Wexford,183,803,147,803
2002,One off houses,Wicklow,Wicklow,187,268,50,268
2002,Private flats/apartments,Carlow,Carlow,74,20,31,421
2002,Private flats/apartments,Cavan,Cavan,63,25,12,191
2002,Private flats/apartments,Clare,Clare,96,35,26,270
2002,Private flats/apartments,Cork,Cork,72,135,59,825
2002,Private flats/apartments,Donegal,Donegal,73,46,12,165
2002,Private flats/apartments,Dublin,Dublin,81,385,664,8202
2002,Private flats/apartments,Galway,Galway,73,49,18,247
2002,Private flats/apartments,Kerry,Kerry,60,42,12,200
2002,Private flats/apartments,Kildare,Kildare,81,60,39,482
2002,Private flats/apartments,Kilkenny,Kilkenny,61,22,6,98
2002,Private flats/apartments,Laois,Laois,73,24,28,384
2002,Private flats/apartments,Leitrim,Leitrim,75,22,9,120
2002,Private flats/apartments,Limerick,Limerick,81,38,96,1185
2002,Private flats/apartments,Longford,Longford,76,19,11,145
2002,Private flats/apartments,Louth,Louth,70,38,18,256
2002,Private flats/apartments,Mayo,Mayo,70,52,15,213
2002,Private flats/apartments,Meath,Meath,74,63,47,639
2002,Private flats/apartments,Monaghan,Monaghan,63,20,6,95
2002,Private flats/apartments,Offaly,Offaly,76,18,10,132
2002,Private flats/apartments,Roscommon,Roscommon,75,19,11,146
2002,Private flats/apartments,Sligo,Sligo,101,20,22,217
2002,Private flats/apartments,Waterford,Waterford,60,18,5,83
2002,Private flats/apartments,Westmeath,Westmeath,83,32,49,588
2002,Private flats/apartments,Wexford,Wexford,75,40,21,280
2002,Private flats/apartments,Wicklow,Wicklow,76,46,65,855
2003,Houses,Carlow,Carlow,142,382,190,1334
2003,Houses,Cavan,Cavan,164,650,290,1771
2003,Houses,Clare,Clare,163,743,302,1856
2003,Houses,Cork,Cork,149,1976,796,5357
2003,Houses,Donegal,Donegal,161,1808,544,3385
2003,Houses,Dublin,Dublin,108,957,745,6887
2003,Houses,Galway,Galway,180,2153,530,2950
2003,Houses,Kerry,Kerry,157,1241,352,2236
2003,Houses,Kildare,Kildare,143,503,218,1524
2003,Houses,Kilkenny,Kilkenny,141,492,207,1464
2003,Houses,Laois,Laois,156,345,158,1010
2003,Houses,Leitrim,Leitrim,168,284,88,525
2003,Houses,Limerick,Limerick,149,740,285,1919
2003,Houses,Longford,Longford,161,226,62,384
2003,Houses,Louth,Louth,152,390,152,999
2003,Houses,Mayo,Mayo,176,1327,338,1916
2003,Houses,Meath,Meath,136,472,373,2733
2003,Houses,Monaghan,Monaghan,167,395,135,806
2003,Houses,Offaly,Offaly,152,400,142,933
2003,Houses,Roscommon,Roscommon,151,575,222,1466
2003,Houses,Sligo,Sligo,151,406,120,796
2003,Houses,Waterford,Waterford,142,421,164,1151
2003,Houses,Westmeath,Westmeath,155,359,135,873
2003,Houses,Wexford,Wexford,140,751,225,1609
2003,Houses,Wicklow,Wicklow,133,252,119,893
2003,Multi development houses,Carlow,Carlow,117,34,115,986
2003,Multi development houses,Cavan,Cavan,143,155,182,1276
2003,Multi development houses,Clare,Clare,140,70,166,1183
2003,Multi development houses,Cork,Cork,124,166,439,3547
2003,Multi development houses,Donegal,Donegal,125,209,224,1786
2003,Multi development houses,Dublin,Dublin,103,149,629,6079
2003,Multi development houses,Galway,Galway,134,69,116,866
2003,Multi development houses,Kerry,Kerry,125,116,139,1111
2003,Multi development houses,Kildare,Kildare,112,35,118,1056
2003,Multi development houses,Kilkenny,Kilkenny,108,27,108,999
2003,Multi development houses,Laois,Laois,132,24,91,689
2003,Multi development houses,Leitrim,Leitrim,150,25,40,266
2003,Multi development houses,Limerick,Limerick,119,53,146,1232
2003,Multi development houses,Longford,Longford,126,17,22,175
2003,Multi development houses,Louth,Louth,113,37,73,646
2003,Multi development houses,Mayo,Mayo,143,98,98,687
2003,Multi development houses,Meath,Meath,122,49,282,2310
2003,Multi development houses,Monaghan,Monaghan,116,29,51,440
2003,Multi development houses,Offaly,Offaly,116,26,65,559
2003,Multi development houses,Roscommon,Roscommon,131,51,123,942
2003,Multi development houses,Sligo,Sligo,110,29,46,419
2003,Multi development houses,Waterford,Waterford,108,32,82,762
2003,Multi development houses,Westmeath,Westmeath,125,28,68,542
2003,Multi development houses,Wexford,Wexford,104,74,97,932
2003,Multi development houses,Wicklow,Wicklow,115,31,77,672
2003,One off houses,Carlow,Carlow,216,348,75,348
2003,One off houses,Cavan,Cavan,218,495,108,495
2003,One off houses,Clare,Clare,204,673,137,673
2003,One off houses,Cork,Cork,198,1810,358,1810
2003,One off houses,Donegal,Donegal,199,1599,319,1599
2003,One off houses,Dublin,Dublin,144,808,116,808
2003,One off houses,Galway,Galway,199,2084,414,2084
2003,One off houses,Kerry,Kerry,189,1125,213,1125
2003,One off houses,Kildare,Kildare,216,468,101,468
2003,One off houses,Kilkenny,Kilkenny,215,465,100,465
2003,One off houses,Laois,Laois,209,321,67,321
2003,One off houses,Leitrim,Leitrim,189,259,49,259
2003,One off houses,Limerick,Limerick,202,687,139,687
2003,One off houses,Longford,Longford,191,209,40,209
