Year,Type of Dwelling,Region and County,County,Average Floor Area per Unit,Planning Permissions Granted,Total Floor Area for which Permission Granted,Units for which Permission Granted
2005,Private flats/apartments,Louth,Louth,72,46,42,587
2005,Private flats/apartments,Mayo,Mayo,87,64,54,623
2005,Private flats/apartments,Meath,Meath,72,65,69,960
2005,Private flats/apartments,Monaghan,Monaghan,80,36,38,475
2005,Private flats/apartments,Offaly,Offaly,71,24,8,113
2005,Private flats/apartments,Roscommon,Roscommon,79,49,21,265
2005,Private flats/apartments,Sligo,Sligo,80,42,49,611
2005,Private flats/apartments,Waterford,Waterford,69,15,5,72
2005,Private flats/apartments,Westmeath,Westmeath,77,42,67,870
2005,Private flats/apartments,Wexford,Wexford,85,57,32,377
2005,Private flats/apartments,Wicklow,Wicklow,82,74,47,573
2006,Houses,Carlow,Carlow,156,344,247,1588
2006,Houses,Cavan,Cavan,171,765,461,2701
2006,Houses,Clare,Clare,160,633,231,1445
2006,Houses,Cork,Cork,148,2321,1064,7170
2006,Houses,Donegal,Donegal,171,2086,775,4520
2006,Houses,Dublin,Dublin,138,1154,509,3698
2006,Houses,Galway,Galway,182,1993,629,3453
2006,Houses,Kerry,Kerry,161,1335,490,3043
2006,Houses,Kildare,Kildare,143,487,300,2098
2006,Houses,Kilkenny,Kilkenny,160,573,274,1716
2006,Houses,Laois,Laois,143,405,324,2264
2006,Houses,Leitrim,Leitrim,178,340,133,749
2006,Houses,Limerick,Limerick,150,624,295,1965
2006,Houses,Longford,Longford,168,291,123,734
2006,Houses,Louth,Louth,172,569,286,1666
2006,Houses,Mayo,Mayo,170,1283,406,2389
2006,Houses,Meath,Meath,173,593,311,1802
2006,Houses,Monaghan,Monaghan,193,576,196,1017
2006,Houses,Offaly,Offaly,151,464,271,1792
2006,Houses,Roscommon,Roscommon,159,654,321,2024
2006,Houses,Sligo,Sligo,173,387,159,920
2006,Houses,Waterford,Waterford,185,460,170,919
2006,Houses,Westmeath,Westmeath,147,468,243,1655
2006,Houses,Wexford,Wexford,171,1197,517,3022
2006,Houses,Wicklow,Wicklow,141,464,266,1885
2006,Multi development houses,Carlow,Carlow,130,31,166,1275
2006,Multi development houses,Cavan,Cavan,142,69,284,2005
2006,Multi development houses,Clare,Clare,121,49,104,861
2006,Multi development houses,Cork,Cork,121,221,614,5070
2006,Multi development houses,Donegal,Donegal,140,260,376,2694
2006,Multi development houses,Dublin,Dublin,130,221,360,2765
2006,Multi development houses,Galway,Galway,134,107,210,1567
2006,Multi development houses,Kerry,Kerry,130,156,243,1864
2006,Multi development houses,Kildare,Kildare,119,55,198,1666
2006,Multi development houses,Kilkenny,Kilkenny,121,51,145,1194
2006,Multi development houses,Laois,Laois,123,37,233,1896
2006,Multi development houses,Leitrim,Leitrim,157,19,67,428
2006,Multi development houses,Limerick,Limerick,117,50,163,1391
2006,Multi development houses,Longford,Longford,130,28,61,471
2006,Multi development houses,Louth,Louth,142,67,165,1164
2006,Multi development houses,Mayo,Mayo,121,87,144,1193
2006,Multi development houses,Meath,Meath,130,41,163,1250
2006,Multi development houses,Monaghan,Monaghan,118,44,57,485
2006,Multi development houses,Offaly,Offaly,123,42,168,1370
2006,Multi development houses,Roscommon,Roscommon,135,68,194,1438
2006,Multi development houses,Sligo,Sligo,137,23,76,556
2006,Multi development houses,Waterford,Waterford,147,37,73,496
2006,Multi development houses,Westmeath,Westmeath,114,40,140,1227
2006,Multi development houses,Wexford,Wexford,146,256,304,2081
2006,Multi development houses,Wicklow,Wicklow,121,55,179,1476
2006,One off houses,Carlow,Carlow,259,313,81,313
2006,One off houses,Cavan,Cavan,254,696,177,696
2006,One off houses,Clare,Clare,219,584,128,584
2006,One off houses,Cork,Cork,214,2100,449,2100
2006,One off houses,Donegal,Donegal,219,1826,399,1826
2006,One off houses,Dublin,Dublin,160,933,149,933
2006,One off houses,Galway,Galway,222,1886,418,1886
2006,One off houses,Kerry,Kerry,209,1179,247,1179
2006,One off houses,Kildare,Kildare,236,432,102,432
2006,One off houses,Kilkenny,Kilkenny,247,522,129,522
2006,One off houses,Laois,Laois,247,368,91,368
2006,One off houses,Leitrim,Leitrim,206,321,66,321
2006,One off houses,Limerick,Limerick,230,574,132,574
2006,One off houses,Longford,Longford,236,263,62,263
2006,One off houses,Louth,Louth,243,502,122,502
2006,One off houses,Mayo,Mayo,218,1196,261,1196
2006,One off houses,Meath,Meath,268,552,148,552
2006,One off houses,Monaghan,Monaghan,261,532,139,532
2006,One off houses,Offaly,Offaly,244,422,103,422
2006,One off houses,Roscommon,Roscommon,218,586,128,586
2006,One off houses,Sligo,Sligo,228,364,83,364
2006,One off houses,Waterford,Waterford,229,423,97,423
2006,One off houses,Westmeath,Westmeath,241,428,103,428
2006,One off houses,Wexford,Wexford,226,941,213,941
2006,One off houses,Wicklow,Wicklow,213,409,87,409
2006,Private flats/apartments,Carlow,Carlow,109,17,13,119
2006,Private flats/apartments,Cavan,Cavan,89,22,34,381
2006,Private flats/apartments,Clare,Clare,79,28,21,265
2006,Private flats/apartments,Cork,Cork,77,161,95,1232
2006,Private flats/apartments,Donegal,Donegal,70,61,25,355
2006,Private flats/apartments,Dublin,Dublin,84,280,709,8409
2006,Private flats/apartments,Galway,Galway,78,64,25,321
2006,Private flats/apartments,Kerry,Kerry,71,60,24,337
2006,Private flats/apartments,Kildare,Kildare,81,42,42,517
2006,Private flats/apartments,Kilkenny,Kilkenny,74,25,16,217
2006,Private flats/apartments,Laois,Laois,68,18,23,338
2006,Private flats/apartments,Leitrim,Leitrim,90,10,7,78
2006,Private flats/apartments,Limerick,Limerick,88,33,33,376
2006,Private flats/apartments,Longford,Longford,68,11,3,44
2006,Private flats/apartments,Louth,Louth,72,40,40,557
2006,Private flats/apartments,Mayo,Mayo,89,59,51,573
2006,Private flats/apartments,Meath,Meath,76,43,40,528
2006,Private flats/apartments,Monaghan,Monaghan,75,17,14,186
2006,Private flats/apartments,Offaly,Offaly,72,30,31,429
2006,Private flats/apartments,Roscommon,Roscommon,72,18,8,111
2006,Private flats/apartments,Sligo,Sligo,80,22,11,138
2006,Private flats/apartments,Waterford,Waterford,103,15,10,97
2006,Private flats/apartments,Westmeath,Westmeath,70,40,16,228
2006,Private flats/apartments,Wexford,Wexford,72,40,28,387
2006,Private flats/apartments,Wicklow,Wicklow,83,51,71,851
2007,Houses,Carlow,Carlow,170,364,282,1654
2007,Houses,Cavan,Cavan,184,716,349,1896
2007,Houses,Clare,Clare,152,613,352,2309
2007,Houses,Cork,Cork,153,2394,1286,8385
2007,Houses,Donegal,Donegal,169,1523,522,3085
2007,Houses,Dublin,Dublin,155,1125,665,4283
2007,Houses,Galway,Galway,179,1795,682,3818
2007,Houses,Kerry,Kerry,172,1117,447,2592
2007,Houses,Kildare,Kildare,142,651,492,3462
2007,Houses,Kilkenny,Kilkenny,171,543,231,1352
2007,Houses,Laois,Laois,164,528,308,1875
2007,Houses,Leitrim,Leitrim,204,342,93,455
2007,Houses,Limerick,Limerick,174,669,315,1815
2007,Houses,Longford,Longford,178,339,167,936
2007,Houses,Louth,Louth,151,504,329,2180
2007,Houses,Mayo,Mayo,185,1073,347,1880
2007,Houses,Meath,Meath,154,636,488,3170
2007,Houses,Monaghan,Monaghan,178,600,259,1455
2007,Houses,Offaly,Offaly,152,556,289,1901
2007,Houses,Roscommon,Roscommon,180,596,232,1286
2007,Houses,Sligo,Sligo,167,408,174,1042
2007,Houses,Waterford,Waterford,147,450,222,1506
2007,Houses,Westmeath,Westmeath,175,465,195,1112
2007,Houses,Wexford,Wexford,174,1211,713,4088
2007,Houses,Wicklow,Wicklow,164,472,162,985
2007,Multi development houses,Carlow,Carlow,146,51,196,1341
2007,Multi development houses,Cavan,Cavan,136,53,168,1233
2007,Multi development houses,Clare,Clare,128,65,225,1761
2007,Multi development houses,Cork,Cork,127,273,798,6264
2007,Multi development houses,Donegal,Donegal,124,127,210,1689
2007,Multi development houses,Dublin,Dublin,155,233,524,3391
2007,Multi development houses,Galway,Galway,134,115,287,2138
2007,Multi development houses,Kerry,Kerry,143,149,233,1624
2007,Multi development houses,Kildare,Kildare,119,69,343,2880
2007,Multi development houses,Kilkenny,Kilkenny,114,26,95,835
2007,Multi development houses,Laois,Laois,130,38,180,1385
2007,Multi development houses,Leitrim,Leitrim,131,9,16,122
2007,Multi development houses,Limerick,Limerick,137,53,164,1199
2007,Multi development houses,Longford,Longford,147,30,92,627
2007,Multi development houses,Louth,Louth,122,63,213,1739
2007,Multi development houses,Mayo,Mayo,137,66,120,873
2007,Multi development houses,Meath,Meath,126,42,325,2576
2007,Multi development houses,Monaghan,Monaghan,123,57,112,912
2007,Multi development houses,Offaly,Offaly,113,43,157,1388
2007,Multi development houses,Roscommon,Roscommon,133,46,98,736
2007,Multi development houses,Sligo,Sligo,120,30,80,664
2007,Multi development houses,Waterford,Waterford,109,45,120,1101
2007,Multi development houses,Westmeath,Westmeath,121,28,82,675
2007,Multi development houses,Wexford,Wexford,154,314,492,3191
2007,Multi development houses,Wicklow,Wicklow,125,49,70,562
2007,One off houses,Carlow,Carlow,278,313,87,313
2007,One off houses,Cavan,Cavan,275,663,182,663
2007,One off houses,Clare,Clare,230,548,126,548
2007,One off houses,Cork,Cork,226,2120,480,2120
2007,One off houses,Donegal,Donegal,223,1396,311,1396
2007,One off houses,Dublin,Dublin,158,892,141,892
2007,One off houses,Galway,Galway,235,1680,394,1680
2007,One off houses,Kerry,Kerry,221,968,214,968
2007,One off houses,Kildare,Kildare,256,582,149,582
2007,One off houses,Kilkenny,Kilkenny,259,517,134,517
2007,One off houses,Laois,Laois,261,490,128,490
2007,One off houses,Leitrim,Leitrim,231,333,77,333
2007,One off houses,Limerick,Limerick,247,616,152,616
2007,One off houses,Longford,Longford,246,309,76,309
2007,One off houses,Louth,Louth,261,441,115,441
2007,One off houses,Mayo,Mayo,224,1007,226,1007
2007,One off houses,Meath,Meath,274,594,163,594
2007,One off houses,Monaghan,Monaghan,271,543,147,543
2007,One off houses,Offaly,Offaly,257,513,132,513
2007,One off houses,Roscommon,Roscommon,244,550,134,550
2007,One off houses,Sligo,Sligo,251,378,95,378
2007,One off houses,Waterford,Waterford,252,405,102,405
2007,One off houses,Westmeath,Westmeath,256,437,112,437
2007,One off houses,Wexford,Wexford,247,897,222,897
2007,One off houses,Wicklow,Wicklow,217,423,92,423
2007,Private flats/apartments,Carlow,Carlow,84,22,15,178
2007,Private flats/apartments,Cavan,Cavan,84,30,41,490
2007,Private flats/apartments,Clare,Clare,88,33,43,488
2007,Private flats/apartments,Cork,Cork,85,158,128,1498
2007,Private flats/apartments,Donegal,Donegal,89,65,70,784
2007,Private flats/apartments,Dublin,Dublin,86,311,764,8911
2007,Private flats/apartments,Galway,Galway,79,69,38,482
2007,Private flats/apartments,Kerry,Kerry,88,55,40,454
2007,Private flats/apartments,Kildare,Kildare,78,45,39,497
2007,Private flats/apartments,Kilkenny,Kilkenny,92,24,13,142
2007,Private flats/apartments,Laois,Laois,68,24,10,146
2007,Private flats/apartments,Leitrim,Leitrim,75,8,4,53
2007,Private flats/apartments,Limerick,Limerick,89,33,20,225
2007,Private flats/apartments,Longford,Longford,97,9,3,31
2007,Private flats/apartments,Louth,Louth,93,48,111,1188
2007,Private flats/apartments,Mayo,Mayo,78,50,24,308
2007,Private flats/apartments,Meath,Meath,73,63,88,1210
2007,Private flats/apartments,Monaghan,Monaghan,78,20,31,399
2007,Private flats/apartments,Offaly,Offaly,80,31,21,264
2007,Private flats/apartments,Roscommon,Roscommon,78,19,7,90
2007,Private flats/apartments,Sligo,Sligo,86,31,37,429
2007,Private flats/apartments,Waterford,Waterford,87,18,16,184
2007,Private flats/apartments,Westmeath,Westmeath,93,32,20,214
2007,Private flats/apartments,Wexford,Wexford,101,51,55,547
2007,Private flats/apartments,Wicklow,Wicklow,79,46,41,521
2008,Houses,Carlow,Carlow,161,242,178,1106
2008,Houses,Cavan,Cavan,190,582,305,1603
2008,Houses,Clare,Clare,176,591,288,1640
2008,Houses,Cork,Cork,171,1800,826,4822
2008,Houses,Donegal,Donegal,166,1483,550,3312
2008,Houses,Dublin,Dublin,163,751,597,3656
2008,Houses,Galway,Galway,202,1155,406,2008
2008,Houses,Kerry,Kerry,174,739,311,1789
2008,Houses,Kildare,Kildare,170,559,268,1575
2008,Houses,Kilkenny,Kilkenny,159,430,218,1372
2008,Houses,Laois,Laois,167,395,221,1323
2008,Houses,Leitrim,Leitrim,185,274,104,561
2008,Houses,Limerick,Limerick,175,519,226,1294
2008,Houses,Longford,Longford,191,225,85,445
2008,Houses,Louth,Louth,130,450,538,4139
2008,Houses,Mayo,Mayo,180,820,288,1599
2008,Houses,Meath,Meath,175,577,298,1702
2008,Houses,Monaghan,Monaghan,222,632,234,1056
2008,Houses,Offaly,Offaly,170,407,191,1126
2008,Houses,Roscommon,Roscommon,186,474,183,983
2008,Houses,Sligo,Sligo,209,314,96,459
2008,Houses,Waterford,Waterford,167,364,205,1226
2008,Houses,Westmeath,Westmeath,170,345,218,1283
2008,Houses,Wexford,Wexford,177,874,375,2114
2008,Houses,Wicklow,Wicklow,153,451,284,1857
2008,Multi development houses,Carlow,Carlow,135,32,121,896
2008,Multi development houses,Cavan,Cavan,140,37,148,1058
2008,Multi development houses,Clare,Clare,143,43,156,1092
2008,Multi development houses,Cork,Cork,139,173,443,3195
2008,Multi development houses,Donegal,Donegal,122,94,234,1923
2008,Multi development houses,Dublin,Dublin,162,156,496,3061
2008,Multi development houses,Galway,Galway,144,68,133,921
2008,Multi development houses,Kerry,Kerry,134,90,153,1140
2008,Multi development houses,Kildare,Kildare,127,51,136,1067
2008,Multi development houses,Kilkenny,Kilkenny,118,27,114,969
2008,Multi development houses,Laois,Laois,129,32,124,960
2008,Multi development houses,Leitrim,Leitrim,136,15,41,302
2008,Multi development houses,Limerick,Limerick,130,38,106,813
2008,Multi development houses,Longford,Longford,126,18,30,238
2008,Multi development houses,Louth,Louth,115,46,429,3735
2008,Multi development houses,Mayo,Mayo,131,67,111,846
2008,Multi development houses,Meath,Meath,127,18,145,1143
2008,Multi development houses,Monaghan,Monaghan,149,40,69,464
2008,Multi development houses,Offaly,Offaly,122,33,92,752
2008,Multi development houses,Roscommon,Roscommon,128,38,70,547
2008,Multi development houses,Sligo,Sligo,124,16,20,161
2008,Multi development houses,Waterford,Waterford,134,33,120,895
2008,Multi development houses,Westmeath,Westmeath,135,34,131,972
2008,Multi development houses,Wexford,Wexford,143,156,200,1396
2008,Multi development houses,Wicklow,Wicklow,133,50,193,1456
2008,One off houses,Carlow,Carlow,271,210,57,210
2008,One off houses,Cavan,Cavan,288,545,157,545
2008,One off houses,Clare,Clare,241,548,132,548
2008,One off houses,Cork,Cork,235,1627,383,1627
2008,One off houses,Donegal,Donegal,228,1389,316,1389
2008,One off houses,Dublin,Dublin,170,595,101,595
2008,One off houses,Galway,Galway,251,1087,273,1087
2008,One off houses,Kerry,Kerry,242,649,157,649
2008,One off houses,Kildare,Kildare,260,508,132,508
2008,One off houses,Kilkenny,Kilkenny,258,403,104,403
2008,One off houses,Laois,Laois,267,363,97,363
2008,One off houses,Leitrim,Leitrim,239,259,62,259
2008,One off houses,Limerick,Limerick,249,481,120,481
2008,One off houses,Longford,Longford,266,207,55,207
2008,One off houses,Louth,Louth,270,404,109,404
2008,One off houses,Mayo,Mayo,235,753,177,753
2008,One off houses,Meath,Meath,274,559,153,559
2008,One off houses,Monaghan,Monaghan,279,592,165,592
2008,One off houses,Offaly,Offaly,265,374,99,374
2008,One off houses,Roscommon,Roscommon,259,436,113,436
2008,One off houses,Sligo,Sligo,255,298,76,298
2008,One off houses,Waterford,Waterford,257,331,85,331
2008,One off houses,Westmeath,Westmeath,280,311,87,311
2008,One off houses,Wexford,Wexford,244,718,175,718
2008,One off houses,Wicklow,Wicklow,229,401,92,401
2008,Private flats/apartments,Carlow,Carlow,85,12,4,47
2008,Private flats/apartments,Cavan,Cavan,79,32,13,164
2008,Private flats/apartments,Clare,Clare,88,28,16,181
2008,Private flats/apartments,Cork,Cork,88,125,84,951
2008,Private flats/apartments,Donegal,Donegal,80,78,91,1142
2008,Private flats/apartments,Dublin,Dublin,84,206,683,8115
2008,Private flats/apartments,Galway,Galway,82,42,23,282
2008,Private flats/apartments,Kerry,Kerry,93,40,25,269
2008,Private flats/apartments,Kildare,Kildare,85,53,52,613
2008,Private flats/apartments,Kilkenny,Kilkenny,91,29,23,252
2008,Private flats/apartments,Laois,Laois,83,25,18,216
2008,Private flats/apartments,Leitrim,Leitrim,93,14,4,43
2008,Private flats/apartments,Limerick,Limerick,91,30,21,232
2008,Private flats/apartments,Longford,Longford,0,4,0,7
2008,Private flats/apartments,Louth,Louth,85,45,185,2181
2008,Private flats/apartments,Mayo,Mayo,81,36,11,136
2008,Private flats/apartments,Meath,Meath,82,26,19,232
2008,Private flats/apartments,Monaghan,Monaghan,92,21,12,130
2008,Private flats/apartments,Offaly,Offaly,78,21,16,205
2008,Private flats/apartments,Roscommon,Roscommon,95,15,12,126
2008,Private flats/apartments,Sligo,Sligo,89,27,27,302
2008,Private flats/apartments,Waterford,Waterford,98,16,5,51
2008,Private flats/apartments,Westmeath,Westmeath,91,34,70,767
2008,Private flats/apartments,Wexford,Wexford,91,38,38,419
2008,Private flats/apartments,Wicklow,Wicklow,87,41,56,642
2009,Houses,Carlow,Carlow,168,147,81,482
2009,Houses,Cavan,Cavan,217,348,130,599
2009,Houses,Clare,Clare,194,428,149,767
2009,Houses,Cork,Cork,187,1153,537,2879
2009,Houses,Donegal,Donegal,185,684,225,1216
2009,Houses,Dublin,Dublin,148,501,305,2066
2009,Houses,Galway,Galway,186,684,268,1438
2009,Houses,Kerry,Kerry,175,467,174,993
2009,Houses,Kildare,Kildare,156,330,224,1432
2009,Houses,Kilkenny,Kilkenny,175,267,114,651
2009,Houses,Laois,Laois,121,183,202,1675
2009,Houses,Leitrim,Leitrim,253,136,38,150
2009,Houses,Limerick,Limerick,165,327,180,1094
2009,Houses,Longford,Longford,199,92,39,196
2009,Houses,Louth,Louth,148,265,260,1752
2009,Houses,Mayo,Mayo,215,520,164,763
2009,Houses,Meath,Meath,175,398,218,1243
2009,Houses,Monaghan,Monaghan,176,226,129,734
2009,Houses,Offaly,Offaly,185,185,79,427
2009,Houses,Roscommon,Roscommon,232,235,72,310
2009,Houses,Sligo,Sligo,162,222,153,945
2009,Houses,Waterford,Waterford,201,232,75,374
2009,Houses,Westmeath,Westmeath,201,176,62,309
2009,Houses,Wexford,Wexford,185,518,209,1127
2009,Houses,Wicklow,Wicklow,147,293,217,1481
2009,Multi development houses,Carlow,Carlow,134,17,47,352
2009,Multi development houses,Cavan,Cavan,134,18,36,269
2009,Multi development houses,Clare,Clare,138,30,51,369
2009,Multi development houses,Cork,Cork,153,91,278,1817
2009,Multi development houses,Donegal,Donegal,113,35,64,567
2009,Multi development houses,Dublin,Dublin,140,104,233,1669
2009,Multi development houses,Galway,Galway,130,33,102,787
2009,Multi development houses,Kerry,Kerry,128,50,74,576
2009,Multi development houses,Kildare,Kildare,131,54,152,1156
2009,Multi development houses,Kilkenny,Kilkenny,115,16,46,400
2009,Multi development houses,Laois,Laois,107,25,162,1517
2009,Multi development houses,Leitrim,Leitrim,125,2,2,16
2009,Multi development houses,Limerick,Limerick,129,25,102,792
2009,Multi development houses,Longford,Longford,127,6,14,110
2009,Multi development houses,Louth,Louth,128,26,194,1513
2009,Multi development houses,Mayo,Mayo,149,26,40,269
2009,Multi development houses,Meath,Meath,135,29,118,874
2009,Multi development houses,Monaghan,Monaghan,135,18,71,526
2009,Multi development houses,Offaly,Offaly,126,12,32,254
2009,Multi development houses,Roscommon,Roscommon,140,11,12,86
2009,Multi development houses,Sligo,Sligo,132,17,98,740
2009,Multi development houses,Waterford,Waterford,127,15,20,157
2009,Multi development houses,Westmeath,Westmeath,122,15,18,148
2009,Multi development houses,Wexford,Wexford,145,67,98,676
2009,Multi development houses,Wicklow,Wicklow,127,31,155,1219
2009,One off houses,Carlow,Carlow,254,130,33,130
2009,One off houses,Cavan,Cavan,285,330,94,330
2009,One off houses,Clare,Clare,246,398,98,398
2009,One off houses,Cork,Cork,244,1062,259,1062
2009,One off houses,Donegal,Donegal,247,649,160,649
2009,One off houses,Dublin,Dublin,184,397,73,397
2009,One off houses,Galway,Galway,255,651,166,651
2009,One off houses,Kerry,Kerry,240,417,100,417
2009,One off houses,Kildare,Kildare,264,276,73,276
2009,One off houses,Kilkenny,Kilkenny,271,251,68,251
2009,One off houses,Laois,Laois,253,158,40,158
2009,One off houses,Leitrim,Leitrim,261,134,35,134
2009,One off houses,Limerick,Limerick,258,302,78,302
2009,One off houses,Longford,Longford,302,86,26,86
2009,One off houses,Louth,Louth,276,239,66,239
2009,One off houses,Mayo,Mayo,249,494,123,494
2009,One off houses,Meath,Meath,271,369,100,369
2009,One off houses,Monaghan,Monaghan,279,208,58,208
2009,One off houses,Offaly,Offaly,272,173,47,173
2009,One off houses,Roscommon,Roscommon,272,224,61,224
2009,One off houses,Sligo,Sligo,268,205,55,205
2009,One off houses,Waterford,Waterford,253,217,55,217
2009,One off houses,Westmeath,Westmeath,273,161,44,161
2009,One off houses,Wexford,Wexford,246,451,111,451
2009,One off houses,Wicklow,Wicklow,237,262,62,262
2009,Private flats/apartments,Carlow,Carlow,80,10,18,226
2009,Private flats/apartments,Cavan,Cavan,43,9,4,93
2009,Private flats/apartments,Clare,Clare,87,27,19,219
2009,Private flats/apartments,Cork,Cork,96,71,87,903
2009,Private flats/apartments,Donegal,Donegal,82,38,26,317
2009,Private flats/apartments,Dublin,Dublin,95,155,545,5710
2009,Private flats/apartments,Galway,Galway,92,33,20,218
2009,Private flats/apartments,Kerry,Kerry,107,29,27,253
2009,Private flats/apartments,Kildare,Kildare,90,32,36,401
2009,Private flats/apartments,Kilkenny,Kilkenny,92,17,8,87
2009,Private flats/apartments,Laois,Laois,95,15,31,326
2009,Private flats/apartments,Leitrim,Leitrim,0,3,0,5
2009,Private flats/apartments,Limerick,Limerick,83,21,9,109
2009,Private flats/apartments,Longford,Longford,0,3,0,3
2009,Private flats/apartments,Louth,Louth,103,30,104,1012
2009,Private flats/apartments,Mayo,Mayo,98,35,39,398
2009,Private flats/apartments,Meath,Meath,85,27,32,375
2009,Private flats/apartments,Monaghan,Monaghan,104,11,28,268
2009,Private flats/apartments,Offaly,Offaly,77,11,9,117
2009,Private flats/apartments,Roscommon,Roscommon,118,5,2,17
2009,Private flats/apartments,Sligo,Sligo,81,16,45,557
2009,Private flats/apartments,Waterford,Waterford,154,7,2,13
2009,Private flats/apartments,Westmeath,Westmeath,107,17,13,121
2009,Private flats/apartments,Wexford,Wexford,100,39,22,221
2009,Private flats/apartments,Wicklow,Wicklow,84,31,48,573
2010,Houses,Carlow,Carlow,211,112,39,185
2010,Houses,Cavan,Cavan,152,81,67,440
2010,Houses,Clare,Clare,206,292,91,441
2010,Houses,Cork,Cork,215,718,209,973
2010,Houses,Donegal,Donegal,188,440,179,954
2010,Houses,Dublin,Dublin,162,292,167,1032
2010,Houses,Galway,Galway,208,517,152,731
2010,Houses,Kerry,Kerry,229,304,78,341
2010,Houses,Kildare,Kildare,163,187,113,694
2010,Houses,Kilkenny,Kilkenny,247,171,46,186
2010,Houses,Laois,Laois,240,148,47,196
2010,Houses,Leitrim,Leitrim,245,43,12,49
2010,Houses,Limerick,Limerick,189,210,84,445
2010,Houses,Longford,Longford,316,57,18,57
2010,Houses,Louth,Louth,159,173,65,409
2010,Houses,Mayo,Mayo,215,361,98,455
2010,Houses,Meath,Meath,172,283,158,920
2010,Houses,Monaghan,Monaghan,172,169,85,494
2010,Houses,Offaly,Offaly,250,106,32,128
2010,Houses,Roscommon,Roscommon,247,133,38,154
2010,Houses,Sligo,Sligo,191,128,45,236
2010,Houses,Waterford,Waterford,237,117,33,139
2010,Houses,Westmeath,Westmeath,216,90,25,116
2010,Houses,Wexford,Wexford,184,309,112,610
2010,Houses,Wicklow,Wicklow,171,157,66,385
2010,Multi development houses,Carlow,Carlow,143,4,11,77
2010,Multi development houses,Cavan,Cavan,125,8,46,367
2010,Multi development houses,Clare,Clare,147,21,25,170
2010,Multi development houses,Cork,Cork,153,39,45,294
2010,Multi development houses,Donegal,Donegal,129,20,69,534
2010,Multi development houses,Dublin,Dublin,153,53,121,793
2010,Multi development houses,Galway,Galway,127,15,29,229
2010,Multi development houses,Kerry,Kerry,185,17,10,54
2010,Multi development houses,Kildare,Kildare,128,17,67,524
2010,Multi development houses,Kilkenny,Kilkenny,118,2,2,17
2010,Multi development houses,Laois,Laois,189,5,10,53
2010,Multi development houses,Leitrim,Leitrim,286,1,2,7
2010,Multi development houses,Limerick,Limerick,135,10,33,245
2010,Multi development houses,Louth,Louth,93,10,23,246
2010,Multi development houses,Mayo,Mayo,149,20,17,114
2010,Multi development houses,Meath,Meath,136,19,89,656
2010,Multi development houses,Monaghan,Monaghan,124,13,42,338
2010,Multi development houses,Offaly,Offaly,185,5,5,27
2010,Multi development houses,Roscommon,Roscommon,125,3,3,24
2010,Multi development houses,Sligo,Sligo,106,5,12,113
2010,Multi development houses,Waterford,Waterford,160,3,4,25
2010,Multi development houses,Westmeath,Westmeath,103,3,3,29
2010,Multi development houses,Wexford,Wexford,129,25,42,326
2010,Multi development houses,Wicklow,Wicklow,132,22,33,250
2010,One off houses,Carlow,Carlow,259,108,28,108
2010,One off houses,Cavan,Cavan,288,73,21,73
2010,One off houses,Clare,Clare,244,271,66,271
2010,One off houses,Cork,Cork,242,679,164,679
2010,One off houses,Donegal,Donegal,262,420,110,420
2010,One off houses,Dublin,Dublin,192,239,46,239
2010,One off houses,Galway,Galway,247,502,124,502
2010,One off houses,Kerry,Kerry,237,287,68,287
2010,One off houses,Kildare,Kildare,271,170,46,170
2010,One off houses,Kilkenny,Kilkenny,266,169,45,169
2010,One off houses,Laois,Laois,259,143,37,143
2010,One off houses,Leitrim,Leitrim,238,42,10,42
2010,One off houses,Limerick,Limerick,255,200,51,200
2010,One off houses,Longford,Longford,316,57,18,57
2010,One off houses,Louth,Louth,258,163,42,163
2010,One off houses,Mayo,Mayo,238,341,81,341
2010,One off houses,Meath,Meath,261,264,69,264
2010,One off houses,Monaghan,Monaghan,276,156,43,156
2010,One off houses,Offaly,Offaly,257,101,26,101
2010,One off houses,Roscommon,Roscommon,277,130,36,130
2010,One off houses,Sligo,Sligo,268,123,33,123
2010,One off houses,Waterford,Waterford,254,114,29,114
2010,One off houses,Westmeath,Westmeath,253,87,22,87
2010,One off houses,Wexford,Wexford,246,284,70,284
2010,One off houses,Wicklow,Wicklow,244,135,33,135
2010,Private flats/apartments,Carlow,Carlow,167,3,1,6
2010,Private flats/apartments,Cavan,Cavan,100,7,1,10
2010,Private flats/apartments,Clare,Clare,48,11,1,21
2010,Private flats/apartments,Cork,Cork,77,27,7,91
2010,Private flats/apartments,Donegal,Donegal,95,16,32,336
2010,Private flats/apartments,Dublin,Dublin,93,80,335,3621
2010,Private flats/apartments,Galway,Galway,100,10,7,70
2010,Private flats/apartments,Kerry,Kerry,87,12,2,23
2010,Private flats/apartments,Kildare,Kildare,86,16,28,327
2010,Private flats/apartments,Kilkenny,Kilkenny,67,4,1,15
2010,Private flats/apartments,Laois,Laois,0,2,0,3
2010,Private flats/apartments,Leitrim,Leitrim,0,1,0,1
2010,Private flats/apartments,Limerick,Limerick,79,11,3,38
2010,Private flats/apartments,Longford,Longford,0,1,0,1
2010,Private flats/apartments,Louth,Louth,86,17,25,291
2010,Private flats/apartments,Mayo,Mayo,90,13,6,67
2010,Private flats/apartments,Meath,Meath,69,19,32,465
2010,Private flats/apartments,Monaghan,Monaghan,88,8,10,113
